Description,Domain,Type,Purpose,Domain Rating,Type Rating,Purpose Rating,Complexity
UI/UX Design project involving accessibility compliance for customer experience enhancement.,UI/UX Design,accessibility compliance,customer experience enhancement,6,17,16,39
Virtual Assistance project involving email and calendar management for schedule optimization.,Virtual Assistance,email and calendar management,schedule optimization,4,7,7,18
Video Editing project involving video mixing for music video.,Video Editing,video mixing,music video,5,12,16,33
Game Development project involving game asset creation for augmented reality applications.,Game Development,game asset creation,augmented reality applications,8,12,17,37
Content Writing project involving case study for lead generation.,Content Writing,case study,lead generation,4,13,14,31
UI/UX Design project involving mobile-first design for product development.,UI/UX Design,mobile-first design,product development,6,12,15,33
Content Writing project involving press release for company updates.,Content Writing,press release,company updates,4,12,11,27
Graphic Design project involving business card design for product packaging.,Graphic Design,business card design,product packaging,5,9,14,28
Web Development project involving single-page application for blog platform.,Web Development,single-page application,blog platform,7,15,9,31
"Cybersecurity project involving firewall implementation for compliance (GDPR, HIPAA).",Cybersecurity,firewall implementation,"compliance (GDPR, HIPAA)",9,14,15,38
Data Science project involving Predictive analytics system for customer segmentation.,Data Science,Predictive analytics system,customer segmentation,9,18,17,44
IT Support and Maintenance project involving software updates and patches for system performance optimization.,IT Support and Maintenance,software updates and patches,system performance optimization,6,10,14,30
UI/UX Design project involving wireframing and prototyping for accessibility improvements.,UI/UX Design,wireframing and prototyping,accessibility improvements,6,12,17,35
Virtual Assistance project involving social media management for data organization.,Virtual Assistance,social media management,data organization,4,11,7,22
UI/UX Design project involving user interface design for user engagement.,UI/UX Design,user interface design,user engagement,6,10,14,30
Graphic Design project involving web design for event promotion.,Graphic Design,web design,event promotion,5,14,13,32
Graphic Design project involving infographic design for website design.,Graphic Design,infographic design,website design,5,12,16,33
Digital Marketing project involving PPC campaign for lead generation.,Digital Marketing,PPC campaign,lead generation,6,14,14,34
Game Development project involving game UI/UX design for education.,Game Development,game UI/UX design,education,8,10,14,32
Data Science project involving Data pipeline for healthcare analytics.,Data Science,Data pipeline,healthcare analytics,9,15,19,43
Artificial Intelligence project involving computer vision system for customer service automation.,Artificial Intelligence,computer vision system,customer service automation,10,19,17,46
Graphic Design project involving branding package for website design.,Graphic Design,branding package,website design,5,15,16,36
Digital Marketing project involving PPC campaign for website traffic optimization.,Digital Marketing,PPC campaign,website traffic optimization,6,14,12,32
Mobile App Development project involving Cross-platform app for banking app.,Mobile App Development,Cross-platform app,banking app,8,16,17,41
Artificial Intelligence project involving chatbot development for image recognition.,Artificial Intelligence,chatbot development,image recognition,10,17,19,46
